Zeit t / s,Spannung U_A1 / V,Spannung U_B1 / V
51.6,0.136,-0.00465
51.7,0.135,-0.00315
51.8,0.135,-0.00375
51.901,0.135,-0.0042
51.999,0.134,-0.00285
52.099,0.1335,-0.003
52.199,0.1335,-0.003
52.3,0.1335,-0.0039
52.401,0.133,-0.00375
52.5,0.1325,-0.00315
52.599,0.132,-0.003
52.7,0.132,-0.00375
52.801,0.132,-0.00375
52.9,0.131,-0.003
52.999,0.1305,-0.003
53.101,0.131,-0.00375
53.201,0.131,-0.00555
53.299,0.1295,-0.00285
53.401,0.13,-0.0045
53.5,0.1295,-0.0045
53.601,0.13,-0.00915
53.701,0.129,-0.0039
53.8,0.1285,-0.00315
53.899,0.128,-0.003
54,0.128,-0.003
54.101,0.128,-0.00405
54.201,0.1275,-0.0039
54.301,0.1275,-0.0045
54.4,0.127,-0.00315
54.499,0.126,-0.00285
54.6,0.1265,-0.00465
54.7,0.126,-0.0045
54.8,0.1255,-0.00315
54.899,0.1255,-0.00315
55.001,0.125,-0.00435
55.1,0.1245,-0.00315
55.201,0.125,-0.0048
55.3,0.124,-0.00315
55.4,0.124,-0.00495
55.499,0.1235,-0.00315
55.6,0.1235,-0.0033
55.7,0.1235,-0.00495
55.8,0.123,-0.00435
55.9,0.1225,-0.00435
56,0.1225,-0.0042
56.099,0.122,-0.0033
56.2,0.1215,-0.0033
56.301,0.1215,-0.00435
56.4,0.1215,-0.00435
56.5,0.121,-0.00465
56.6,0.1205,-0.0033
56.7,0.1205,-0.00465
56.799,0.12,-0.00465
56.9,0.12,-0.00465
57,0.1195,-0.00465
57.1,0.119,-0.00345
57.2,0.119,-0.00465
57.299,0.1185,-0.00345
57.4,0.1185,-0.00345
57.501,0.1185,-0.0048
57.599,0.118,-0.00345
57.7,0.118,-0.0048
57.799,0.117,-0.00345
57.9,0.1175,-0.0048
58,0.117,-0.0048
58.101,0.117,-0.0048
58.2,0.1165,-0.00345
58.299,0.116,-0.00495
58.4,0.1165,-0.00495
58.5,0.116,-0.00495
58.601,0.1155,-0.00495
58.699,0.115,-0.00345
58.8,0.1155,-0.0051
58.9,0.1145,-0.0036
58.999,0.1145,-0.00525
59.1,0.114,-0.0036
59.2,0.114,-0.00375
59.3,0.114,-0.00525
59.399,0.1135,-0.00375
59.499,0.113,-0.0039
59.6,0.1135,-0.0054
59.699,0.1125,-0.0045
59.8,0.113,-0.0054
